Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_802da44,FUN_0802da44,,,,,,,,,,,,,,,
,,sub_802da5c,FUN_0802da5c,,,,,,,,,,,,,,,
,,sub_802da9c,FUN_0802da9c,,,,,,,,,,,,,,,
,,sub_802dab0,FUN_0802dab0,,,,,,,,,,,,,,,
,,sub_802dc68,FUN_0802dc68,,,,,,,,,,,,,,,
,,sub_802dcfc,FUN_0802dcfc,,,,,,,,,,,,,,,
,,sub_802dd14,FUN_0802dd14,,,,,,,,,,,,,,,
,,sub_802dd2c,FUN_0802dd2c,,,,,,,,,,,,,,,
,,sub_802de84,FUN_0802de84,,,,,,,,,,,,,,,
,,sub_802de98,FUN_0802de98,,,,,,,,,,,,,,,
,,sub_802dea0,FUN_0802dea0,,,,,,,,,,,,,,,
,,sub_802deb8,FUN_0802deb8,,,,,,,,,,,,,,,
,,sub_802dec0,FUN_0802dec0,,,,,,,,,,,,,,,
,,sub_802ded0,FUN_0802ded0,,,,,,,,,,,,,,,
,,sub_802dee4,FUN_0802dee4,,,,,,,,,,,,,,,
,,sub_802def8,FUN_0802def8,,,,,,,,,,,,,,,
,,sub_802dfb8,FUN_0802dfb8,,,,,,,,,,,,,,,
,,sub_802e1ba,,,,,,,,,,,,,,,,
,,sub_802e344,FUN_0802e344,,,,,,,,,,,,,,,
,,sub_802e3f4,FUN_0802e3f4,,,,,,,,,,,,,,,
,,sub_802e4a8,FUN_0802e4a8,,,,,,,,,,,,,,,
,,sub_802e55c,FUN_0802e55c,,,,,,,,,,,,,,,
,,sub_802e5c4,FUN_0802e5c4,,,,,,,,,,,,,,,
,,sub_802e62c,FUN_0802e62c,,,,,,,,,,,,,,,
,,sub_802e738,FUN_0802e738,,,,,,,,,,,,,,,
